iter	Passed	Remaining
353	776	1416
354	777	1411
355	779	1409
356	781	1407
357	782	1402
358	783	1399
359	784	1395
360	786	1392
361	787	1387
362	788	1384
363	789	1379
364	790	1376
365	793	1374
366	795	1372
367	797	1369
368	798	1365
369	799	1361
370	801	1358
371	802	1354
372	803	1350
373	804	1346
374	806	1344
375	809	1343
376	810	1339
377	812	1336
378	813	1332
379	814	1328
380	815	1325
381	817	1322
382	818	1318
383	819	1314
384	821	1312
385	824	1311
386	826	1308
387	827	1304
388	828	1300
389	829	1297
390	830	1293
391	832	1291
392	833	1287
393	834	1283
394	835	1280
395	837	1277
396	841	1277
397	842	1275
398	844	1271
399	847	1270
400	848	1267
401	880	1309
402	881	1306
403	888	1310
404	890	1308
405	893	1307
406	896	1306
407	897	1302
408	899	1299
409	901	1296
410	904	1295
411	905	1292
412	906	1288
413	908	1285
414	909	1281
415	911	1279
416	912	1275
417	913	1272
418	915	1268
419	916	1265
420	917	1261
421	918	1258
422	919	1254
423	921	1251
424	922	1247
425	923	1244
426	925	1241
427	926	1237
428	927	1234
429	928	1231
430	930	1228
431	931	1225
432	932	1221
433	934	1218
434	935	1215
435	936	1211
436	938	1208
437	939	1205
438	940	1202
439	941	1198
440	942	1195
441	944	1192
442	945	1189
443	947	1185
444	948	1182
445	949	1179
446	950	1176
447	952	1173
448	953	1169
449	954	1166
450	955	1163
451	956	1160
452	958	1156
453	959	1153
454	960	1150
